product_class,manufacturer,product_name,report_date,assembly_location,chip_CPU,chip_GPU,chip_SoC,number_of_cores_CPU,number_of_cores_GPU,number_of_cores_SoC,hard_drive_name,hard_drive_type,hard_drive_size_gb,memory_gb,battery_capacity_mah,display_size,display_type,display_max_brightness_nits,display_refresh_rate_hz,yearly_household_energy_consumption_kWh,lifetime_years,dimension_width_cm,dimension_height_cm,dimension_depth_cm,weight_kg,gwp_total_kg_co2e,GWP_manufacturing_phase,GWP_transport_phase,GWP_use_phase,GWP_end_of_life_phase,TEC of Model (kWh),Panel Type,Native Resolution (pixels),Screen Size (inches),Screen Area (square inches),On Mode Power (watts),Sleep Mode Power (watts),Climate+,EPEAT Score,EPEAT Tier,TCO Certified
Display,ASUS,VA34VCPSN,December. 2023,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,253,,0.03,0.149,,89.51,TFT LCD,3440 x 1440,34,412.38,28.5,0.37,FALSE,25 of 46,Silver,TCO Certified Displays 9
Display,ASUS,VA27EQSB,December. 2023,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,264,,0.1,,0.003,47.27,TFT LCD,1080 x 1920,27,311.67,14.81,0.21,FALSE,24 of 46,Silver,TCO Certified Edge Displays
Display,ASUS,BE24 ECS BT,December. 2023,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,397,,,,,41.78,IPS LCD,1920 x 1080,23.8,242.18,13.2,0.23,FALSE,24 of 46,Silver,TCO Certified Displays 9
Display,ASUS,VU249CFE-B,December. 2023,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,203,,,,0.002,31.24,AAS LCD,1920 x 1080,23.8,242.18,9.91,0.15,FALSE,35 of 46,Gold,TCO Certified Displays 9
Display,ASUS,PA278CGV,February. 2024,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,438,,,0.298,0.002,61.1,IPS LCD,2560 x 1440,27,310.47,19.5,0.23,FALSE,25 of 46,Silver,TCO Certified Displays 9
Display,ASUS,PA348CGV,February. 2024,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,616,,,,,61.45,IPS LCD,3440 x 1440,34.1,415.05,19.36,0.37,FALSE,26 of 46,Silver,TCO Certified Displays 9
Display,ASUS,VY249HF,24-Feb,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,235,0.661,,,0.002,35.66,IPS LCD,1920 x 1080,23.8,243.36,11.35,0.15,FALSE,25 of 46,Silver,TCO Certified Displays 9
Display,ASUS,PA2Z48C RV,September. 2023,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,327,0.728,0.004,0.266,0.002,40.31,AHVA LCD,1920 x 1200,24,260.34,12.35,0.43,FALSE,35 of 46,Gold,TCO Certified Displays 9
Display,ASUS,VA27ACFSN,December. 2023,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,437,0.839,0.002,0.157,0.002,63.9,TFT LCD,2560 x 1440,27,310.47,19.78,0.57,FALSE,25 of 46,Silver,TCO Certified Edge Displays
Display,ASUS,PA34VCNV,February. 2024,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,640,0.749,0.003,0.246,0.002,61.1,TN LCD,3440 x 1440,34.1,415.05,26.9,0.23,FALSE,26 of 46,Silver,TCO Certified Displays 9
Laptop,ASUS,ExpertBook B5 Flip(B5402FV),2023,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,251,0.815,,0.161,0.001,15.4,,,,,,,FALSE,35 of 46,Gold,TCO Certified Notebooks 9
Laptop,ASUS,Expertbook B2 Flip (B2502FV),2023,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,240,0.807,0.032,0.16,,14.9,,,,,,,FALSE,37 of 49,Gold,TCO Certified Notebooks 9
Laptop,ASUS,Chromebook CM14 (CM1402CM2),2023,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,209,,,0.143,,11.7,,,,,,,FALSE,38 of 49,Gold,TCO Certified Notebooks 9
Laptop,ASUS,Chromebook CM34 Flip (CM3401FF),2023,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,279,0.785,0.03,0.184,0.001,16.8,,,,,,,FALSE,29 of 49,Silver,TCO Certified Notebooks 9
Laptop,ASUS,ExpertBook B2 Flip (B2502FB),2023,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,295,0.805,0.03,0.164,,17.2,,,,,,,FALSE,28 of 49,Silver,
Laptop,ASUS,Chromebook CX34 (CX3402CB),2023,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,212,0.787,0.028,0.183,,11.9,,,,,,,FALSE,38 of 49,Gold,TCO Certified Notebooks 9
Laptop,ASUS,Vivobook S 14 Flip OLED (TN3402),2023,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,270,,,0.2,,16.9,,,,,,,FALSE,27 of 49,Silver,
Laptop,ASUS,ExpertBook B5 B5302C,Oct. 2021,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,199,,,0.02,,13.7,,,,,,,,,,TCO Certified Notebooks 9
Laptop,ASUS,ExpertBook B5 B5302F,Oct. 2021,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,222,,,,,13.7,,,,,,,,,,TCO Certified Notebooks 9
Laptop,ASUS,ExpertBook L1 L1400CD,Oct. 2021,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,245,,,0.24,,,,,,,,,FALSE,26 of 49,Silver,
Laptop,ASUS,ExpertBook L1 L1500CD,Oct. 2021,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,263,,,0.28,,,,,,,,,FALSE,27 of 49,Silver,
